ADM2_PCODE,Fecha_pred,Pred_mm,Media_hist_mm,Diff_pct,SPI_like,Alerta,month,Pred_t3_mm
VE0604,2025-09-11,56.7805,55.28842378200445,2.698710906495166,0.0712452387260514,Normal,9,54.368896484375
VE0605,2025-09-11,61.531784,61.71929838424339,-0.303817981628371,-0.008063319393648061,Normal,9,68.81169891357422
VE0606,2025-09-11,58.52857,58.67808400777946,-0.25480678601805157,-0.006023722770172356,Normal,9,63.121917724609375
VE0607,2025-09-11,72.667305,75.84538726519821,-4.190211675510423,-0.12166026376110975,Normal,9,65.45074462890625
VE0608,2025-09-11,57.582294,53.71015041035817,7.209333848758699,0.18217319789532477,Normal,9,53.69361877441406
VE0609,2025-09-11,56.97565,55.75165189298472,2.195448659921796,0.0621316777657975,Normal,9,56.2890625
VE0610,2025-09-11,56.507786,49.66349834786322,13.78132366213062,0.3304622581881563,Normal,9,54.60551834106445
VE0611,2025-09-11,59.526817,57.16559838890133,4.130489314241908,0.11050035154662899,Normal,9,64.65625
VE0612,2025-09-11,82.62651,80.41377631165928,2.7516856065582935,0.08605923784262844,Normal,9,75.13592529296875
VE07,2025-09-11,84.71164,76.901083738284,10.156626261073757,0.3749404222378885,Normal,9,73.09274291992188
VE0701,2025-09-11,45.3218,28.17425923419178,60.862437784812684,1.2420600719713706,Lluvia moderada,9,36.646141052246094
VE0702,2025-09-11,95.2622,75.73679879554233,25.780599281762033,0.9489643188628154,Lluvia moderada,9,61.68364715576172
VE0703,2025-09-11,51.393143,44.66407085002813,15.065961794575072,0.2327135479614776,Normal,9,48.733116149902344
VE0704,2025-09-11,83.79635,73.71877524727269,13.67029402035201,0.33741303619517155,Normal,9,71.92010498046875
VE0705,2025-09-11,45.14967,41.208392251703074,9.564259074802502,0.19256821985627492,Normal,9,38.40324783325195
VE0706,2025-09-11,57.28313,50.13573303437771,14.256094762738037,0.32049790811080375,Normal,9,47.83624267578125
VE0707,2025-09-11,95.36763,91.6231430025029,4.086835355863773,0.14898351099231558,Normal,9,75.0196762084961
VE0708,2025-09-11,55.69495,53.11079404407874,4.8655948497707175,0.09307975391141696,Normal,9,50.97134780883789
VE0709,2025-09-11,78.63537,60.348480730128465,30.302150767997595,0.6086321609220176,Normal,9,63.47152328491211
VE0710,2025-09-11,100.72822,93.4375289974356,7.802741745640307,0.29824325634611415,Normal,9,74.93317413330078
VE0711,2025-09-11,49.22002,35.02230361888283,40.539071415198684,0.7722415906487529,Normal,9,44.31522750854492
VE08,2025-09-11,44.14421,43.337922834812254,1.860467525614225,0.04957017590691231,Normal,9,42.50856018066406
VE0801,2025-09-11,42.033726,41.3350042185389,1.6903869570022032,0.0416144186515228,Normal,9,41.58671951293945
VE0802,2025-09-11,43.198208,47.436390812235665,-8.934454928889458,-0.23334429064068596,Normal,9,43.063690185546875
VE0803,2025-09-11,43.61791,46.0,-5.17845983090608,-0.12471632596601592,Normal,9,41.28506851196289
VE0804,2025-09-11,42.465927,43.169924829239235,-1.6307596272184757,-0.04049509387491126,Normal,9,40.816471099853516
VE0805,2025-09-11,42.3932,35.66833758533449,18.853870941506457,0.42434437685622317,Normal,9,41.93201446533203
