ADM2_PCODE,Fecha_pred,Pred_mm,Pred_t3_mm,Fecha_base
VE0506,2025-09-11,42.047497,39.479156494140625,2025-09-01
VE0507,2025-09-11,41.51814,40.415000915527344,2025-09-01
VE0508,2025-09-11,43.625446,41.145999908447266,2025-09-01
VE0509,2025-09-11,48.27087,42.39814376831055,2025-09-01
VE0510,2025-09-11,46.821022,41.346126556396484,2025-09-01
VE0511,2025-09-11,42.26204,40.892799377441406,2025-09-01
VE0512,2025-09-11,43.43408,39.8897819519043,2025-09-01
VE0513,2025-09-11,41.163258,40.55609893798828,2025-09-01
VE0514,2025-09-11,36.823887,38.98318099975586,2025-09-01
VE0515,2025-09-11,46.619984,41.53788375854492,2025-09-01
VE0516,2025-09-11,41.47416,39.88963317871094,2025-09-01
VE0518,2025-09-11,42.819405,40.43994140625,2025-09-01
VE06,2025-09-11,59.104893,59.15940475463867,2025-09-01
VE0601,2025-09-11,58.33087,57.64910125732422,2025-09-01
VE0602,2025-09-11,58.171146,62.06709289550781,2025-09-01
VE0603,2025-09-11,66.21997,57.036842346191406,2025-09-01
VE0604,2025-09-11,56.7805,54.368896484375,2025-09-01
VE0605,2025-09-11,61.531784,68.81169891357422,2025-09-01
VE0606,2025-09-11,58.52857,63.121917724609375,2025-09-01
VE0607,2025-09-11,72.667305,65.45074462890625,2025-09-01
VE0608,2025-09-11,57.582294,53.69361877441406,2025-09-01
VE0609,2025-09-11,56.97565,56.2890625,2025-09-01
VE0610,2025-09-11,56.507786,54.60551834106445,2025-09-01
VE0611,2025-09-11,59.526817,64.65625,2025-09-01
VE0612,2025-09-11,82.62651,75.13592529296875,2025-09-01
VE07,2025-09-11,84.71164,73.09274291992188,2025-09-01
VE0701,2025-09-11,45.3218,36.646141052246094,2025-09-01
VE0702,2025-09-11,95.2622,61.68364715576172,2025-09-01
VE0703,2025-09-11,51.393143,48.733116149902344,2025-09-01
VE0704,2025-09-11,83.79635,71.92010498046875,2025-09-01
VE0705,2025-09-11,45.14967,38.40324783325195,2025-09-01
VE0706,2025-09-11,57.28313,47.83624267578125,2025-09-01
VE0707,2025-09-11,95.36763,75.0196762084961,2025-09-01
VE0708,2025-09-11,55.69495,50.97134780883789,2025-09-01
VE0709,2025-09-11,78.63537,63.47152328491211,2025-09-01
VE0710,2025-09-11,100.72822,74.93317413330078,2025-09-01
VE0711,2025-09-11,49.22002,44.31522750854492,2025-09-01
VE08,2025-09-11,44.14421,42.50856018066406,2025-09-01
VE0801,2025-09-11,42.033726,41.58671951293945,2025-09-01
VE0802,2025-09-11,43.198208,43.063690185546875,2025-09-01
VE0803,2025-09-11,43.61791,41.28506851196289,2025-09-01
VE0804,2025-09-11,42.465927,40.816471099853516,2025-09-01
VE0805,2025-09-11,42.3932,41.93201446533203,2025-09-01
VE0806,2025-09-11,48.942265,48.68803024291992,2025-09-01
VE0807,2025-09-11,43.155396,41.820167541503906,2025-09-01
VE0808,2025-09-11,41.164623,40.44331741333008,2025-09-01
VE0809,2025-09-11,41.503216,39.804866790771484,2025-09-01
VE0810,2025-09-11,43.298363,42.776607513427734,2025-09-01
VE0811,2025-09-11,41.008625,41.21937561035156,2025-09-01
VE0812,2025-09-11,43.600945,41.236549377441406,2025-09-01
VE0813,2025-09-11,42.512768,41.165809631347656,2025-09-01
VE0814,2025-09-11,47.619656,48.769081115722656,2025-09-01
VE09,2025-09-11,50.886627,49.58658218383789,2025-09-01
VE0901,2025-09-11,49.725975,48.529327392578125,2025-09-01
VE0902,2025-09-11,51.923447,52.969173431396484,2025-09-01
VE0903,2025-09-11,58.57999,51.7501220703125,2025-09-01
VE0904,2025-09-11,53.92838,52.80727767944336,2025-09-01
VE0905,2025-09-11,49.99843,48.582706451416016,2025-09-01
VE0906,2025-09-11,53.767433,49.756988525390625,2025-09-01
VE0907,2025-09-11,52.356617,49.10350036621094,2025-09-01
VE0908,2025-09-11,50.188934,51.066165924072266,2025-09-01
VE0909,2025-09-11,51.621918,49.25090026855469,2025-09-01
VE10,2025-09-11,64.094475,54.317684173583984,2025-09-01
VE1001,2025-09-11,57.756886,55.945594787597656,2025-09-01
VE1002,2025-09-11,49.330227,47.859928131103516,2025-09-01
VE1003,2025-09-11,67.17786,74.3189468383789,2025-09-01
VE1004,2025-09-11,69.34321,57.24879837036133,2025-09-01
VE11,2025-09-11,30.283216,39.08405685424805,2025-09-01
VE1101,2025-09-11,25.973951,33.041717529296875,2025-09-01
VE1102,2025-09-11,18.79678,32.14006423950195,2025-09-01
VE1103,2025-09-11,40.990513,42.206512451171875,2025-09-01
VE1104,2025-09-11,39.03968,39.014835357666016,2025-09-01
VE1105,2025-09-11,12.969437,27.603805541992188,2025-09-01
VE1106,2025-09-11,17.036161,28.404376983642578,2025-09-01
VE1107,2025-09-11,45.043915,46.03839874267578,2025-09-01
VE1108,2025-09-11,33.781887,41.568233489990234,2025-09-01
VE1109,2025-09-11,12.726277,19.8798828125,2025-09-01
VE1110,2025-09-11,22.995821,32.5909423828125,2025-09-01
VE1111,2025-09-11,35.482296,37.43088912963867,2025-09-01
VE1112,2025-09-11,14.622065,21.998855590820312,2025-09-01
VE1113,2025-09-11,40.639297,40.82184600830078,2025-09-01
VE1114,2025-09-11,16.73833,23.981658935546875,2025-09-01
VE1115,2025-09-11,39.099133,37.75593185424805,2025-09-01
VE1116,2025-09-11,43.066193,42.31111145019531,2025-09-01
VE1117,2025-09-11,26.359936,33.46052932739258,2025-09-01
VE1118,2025-09-11,17.599035,24.698444366455078,2025-09-01
VE1119,2025-09-11,39.76379,37.64107894897461,2025-09-01
VE1120,2025-09-11,39.005882,37.26343536376953,2025-09-01
VE1121,2025-09-11,24.01868,33.53126525878906,2025-09-01
VE1122,2025-09-11,16.852823,22.49939727783203,2025-09-01
VE1123,2025-09-11,29.161198,36.47301483154297,2025-09-01
VE1124,2025-09-11,31.343283,41.691314697265625,2025-09-01
VE1125,2025-09-11,19.28431,29.231346130371094,2025-09-01
VE12,2025-09-11,49.190887,47.505733489990234,2025-09-01
VE1201,2025-09-11,67.43475,53.62800598144531,2025-09-01
VE1202,2025-09-11,44.63291,36.98169708251953,2025-09-01
VE1203,2025-09-11,48.901527,43.74302291870117,2025-09-01
VE1204,2025-09-11,74.5574,55.33882141113281,2025-09-01
VE1205,2025-09-11,49.331066,46.959617614746094,2025-09-01
VE1206,2025-09-11,52.337307,49.683197021484375,2025-09-01
VE1207,2025-09-11,47.863567,46.57569122314453,2025-09-01
VE1208,2025-09-11,54.259865,51.74515151977539,2025-09-01
VE1209,2025-09-11,45.652233,37.01729202270508,2025-09-01
